,Unnamed: 0,Dis_Actual,Dis_Forcst,difference
1330,1330,314.0,163.0,151.0
1333,1333,159.0,0.0,159.0
1335,1335,150.0,150.0,0.0
1342,1342,118.0,0.0,118.0
1345,1345,278.0,135.0,143.0
1346,1346,94.0,94.906,-0.906000000000006
1353,1353,162.0,47.378,114.622
1365,1365,118.0,0.0,118.0
1367,1367,120.0,150.0,-30.0
1389,1389,87.0,91.996,-4.995999999999995
1394,1394,119.0,0.0,119.0
1395,1395,278.0,135.0,143.0
1398,1398,316.0,163.0,153.0
1401,1401,210.0,60.636,149.364
1404,1404,106.0,150.0,-44.0
1411,1411,65.0,91.996,-26.995999999999995
1416,1416,184.0,92.82,91.18
1428,1428,278.0,135.0,143.0
1442,1442,279.0,135.0,144.0
1451,1451,131.0,131.67,-0.6699999999999875
1453,1453,79.0,89.576,-10.575999999999992
1454,1454,144.0,38.31,105.69
1461,1461,316.0,163.0,153.0
1463,1463,210.0,60.636,149.364
1464,1464,184.0,92.82,91.18
1475,1475,317.0,163.0,154.0
1478,1478,186.0,92.82,93.18
1481,1481,82.0,89.576,-7.575999999999993
1499,1499,168.0,60.636,107.364
1501,1501,277.0,135.0,142.0
1507,1507,278.0,135.0,143.0
1513,1513,184.0,92.82,91.18
1536,1536,83.0,92.042,-9.042000000000002
1537,1537,290.0,163.0,127.0
1558,1558,184.0,91.217,92.783
1561,1561,216.0,163.0,53.0
1562,1562,92.0,83.242,8.757999999999996
1567,1567,278.0,135.0,143.0
1577,1577,101.0,0.0,101.0
1580,1580,98.0,79.742,18.258
1582,1582,0.0,57.633,-57.633
1588,1588,184.0,92.82,91.18
1603,1603,278.0,135.0,143.0
1610,1610,184.0,92.82,91.18
1624,1624,278.0,135.0,143.0
1634,1634,91.0,78.6,12.400000000000006
1648,1648,120.0,25.5,94.5
1649,1649,280.0,135.0,145.0
1650,1650,72.0,74.15,-2.1500000000000057
1657,1657,0.0,88.2,-88.2
1668,1668,184.0,37.18,146.82
1689,1689,47.0,78.479,-31.479
1698,1698,540.0,229.0,311.0
1703,1703,273.0,135.0,138.0
1707,1707,41.0,60.636,-19.636000000000003
1722,1722,41.0,59.362,-18.362
1734,1734,271.0,135.0,136.0
1762,1762,40.0,58.612,-18.612
1780,1780,276.0,135.0,141.0
1800,1800,275.0,135.0,140.0
1810,1810,88.0,0.0,88.0
1827,1827,259.0,127.483,131.517
1833,1833,40.0,56.712,-16.712000000000003
1860,1860,120.0,30.0,90.0
1877,1877,44.0,56.212,-12.212000000000003
1885,1885,261.0,133.98399999999998,127.01600000000002
1887,1887,89.0,0.0,89.0
1895,1895,35.0,55.962,-20.962000000000003
1917,1917,88.0,0.0,88.0
1919,1919,261.0,118.234,142.766
1945,1945,244.0,127.784,116.216
1954,1954,38.0,56.412,-18.412
1962,1962,245.0,135.0,110.0
1987,1987,116.0,0.0,116.0
1996,1996,156.0,0.0,156.0
1998,1998,267.0,135.0,132.0
2032,2032,156.0,36.4,119.6
2043,2043,275.0,135.0,140.0
2050,2050,0.0,75.0,-75.0
2070,2070,155.0,18.052,136.948
2072,2072,0.0,150.0,-150.0
2081,2081,170.0,71.1706,98.8294
2086,2086,272.0,135.0,137.0
2100,2100,61.0,0.0,61.0
2101,2101,275.0,135.0,140.0
2105,2105,177.0,39.671,137.329
2111,2111,169.0,92.82,76.18
2116,2116,0.0,163.0,-163.0
2150,2150,156.0,41.257,114.743
2154,2154,276.0,135.0,141.0
2159,2159,173.0,92.82,80.18
2161,2161,0.0,163.0,-163.0
2181,2181,69.0,60.636,8.363999999999997
2182,2182,0.0,163.0,-163.0
2191,2191,276.0,135.0,141.0
2196,2196,156.0,28.567,127.433
2198,2198,170.0,92.82,77.18
2211,2211,0.0,163.0,-163.0
2214,2214,156.0,43.1,112.9
2227,2227,274.0,135.0,139.0
2232,2232,103.0,0.0,103.0
2237,2237,171.0,92.82,78.18
2243,2243,156.0,43.1,112.9
2247,2247,170.0,92.82,77.18
2253,2253,0.0,163.0,-163.0
2257,2257,99.0,0.0,99.0
2261,2261,275.0,135.0,140.0
2280,2280,0.0,163.0,-163.0
2283,2283,275.0,135.0,140.0
2285,2285,155.0,0.0,155.0
2312,2312,180.0,0.0,180.0
2332,2332,0.0,163.0,-163.0
2333,2333,274.0,135.0,139.0
2342,2342,156.0,46.549,109.451
2359,2359,200.0,0.0,200.0
2364,2364,274.0,135.0,139.0
2379,2379,0.0,163.0,-163.0
2384,2384,274.0,135.0,139.0
2385,2385,160.0,0.0,160.0
2405,2405,0.0,163.0,-163.0
2415,2415,160.0,0.0,160.0
2430,2430,0.0,163.0,-163.0
2440,2440,272.0,135.0,137.0
2462,2462,0.0,163.0,-163.0
2469,2469,272.0,135.0,137.0
2476,2476,160.0,43.394,116.606
2502,2502,273.0,135.0,138.0
2504,2504,0.0,163.0,-163.0
2538,2538,273.0,135.0,138.0
2553,2553,0.0,163.0,-163.0
2565,2565,174.0,57.479,116.521
2568,2568,0.0,163.0,-163.0
2580,2580,271.0,135.0,136.0
2591,2591,174.0,92.82,81.18
2602,2602,0.0,163.0,-163.0
2623,2623,272.0,135.0,137.0
2625,2625,178.0,60.636,117.364
2636,2636,274.0,135.0,139.0
2637,2637,0.0,163.0,-163.0
2651,2651,174.0,92.82,81.18
2674,2674,272.0,135.0,137.0
2685,2685,0.0,163.0,-163.0
2689,2689,186.0,60.636,125.364
2706,2706,0.0,163.0,-163.0
2719,2719,269.0,135.0,134.0
2733,2733,269.0,135.0,134.0
2743,2743,78.0,79.771,-1.7710000000000008
2747,2747,0.0,163.0,-163.0
2765,2765,269.0,135.0,134.0
2786,2786,0.0,163.0,-163.0
2804,2804,273.0,135.0,138.0
2832,2832,0.0,163.0,-163.0
2862,2862,0.0,163.0,-163.0
2866,2866,273.0,135.0,138.0
2880,2880,272.0,135.0,137.0
2890,2890,184.0,60.636,123.364
2892,2892,0.0,163.0,-163.0
2907,2907,274.0,135.0,139.0
2909,2909,178.0,92.82,85.18
2911,2911,0.0,163.0,-163.0
2912,2912,80.0,0.0,80.0
2940,2940,180.0,92.82,87.18
2947,2947,0.0,163.0,-163.0
2972,2972,273.0,135.0,138.0
2975,2975,0.0,163.0,-163.0
2977,2977,268.0,43.394,224.606
2985,2985,167.0,44.462,122.538
2989,2989,200.0,101.06,98.94
2991,2991,0.0,54.867,-54.867
3008,3008,275.0,135.0,140.0
3012,3012,160.0,115.5,44.5
3013,3013,260.0,48.706,211.294
3024,3024,276.0,135.0,141.0
3036,3036,0.0,98.35,-98.35
3042,3042,0.0,163.0,-163.0
3054,3054,0.0,58.214,-58.214
3056,3056,143.0,115.5,27.5
3062,3062,275.0,135.0,140.0
3065,3065,280.0,48.706,231.294
3070,3070,27.0,54.0,-27.0
3072,3072,0.0,163.0,-163.0
3083,3083,162.0,43.0,119.0
3087,3087,300.0,43.394,256.606
3090,3090,275.0,135.0,140.0
3102,3102,28.0,54.0,-26.0
3103,3103,206.0,101.06,104.94
3104,3104,0.0,163.0,-163.0
3107,3107,79.0,115.5,-36.5
3117,3117,72.0,115.5,-43.5
3135,3135,183.0,92.82,90.18
3136,3136,0.0,163.0,-163.0
3137,3137,275.0,135.0,140.0
3145,3145,162.0,43.0,119.0
3146,3146,274.0,43.394,230.606
3152,3152,156.0,43.1,112.9
3163,3163,147.0,43.394,103.606
3165,3165,274.0,135.0,139.0
3174,3174,182.0,92.82,89.18
3177,3177,71.0,85.525,-14.525000000000006
3181,3181,72.0,78.479,-6.478999999999999
3183,3183,0.0,163.0,-163.0
3184,3184,162.0,0.0,162.0
3190,3190,73.0,83.7,-10.700000000000005
3191,3191,275.0,135.0,140.0
3193,3193,184.0,92.82,91.18
3195,3195,0.0,163.0,-163.0
3215,3215,156.0,43.1,112.9
3222,3222,0.0,43.394,-43.394
3238,3238,0.0,163.0,-163.0
3240,3240,156.0,43.1,112.9
3244,3244,78.0,83.7,-5.700000000000003
3249,3249,87.0,92.82,-5.819999999999993
3250,3250,275.0,135.0,140.0
3272,3272,276.0,135.0,141.0
3273,3273,156.0,43.1,112.9
3275,3275,86.0,83.7,2.299999999999997
3280,3280,0.0,163.0,-163.0
3293,3293,61.0,80.1,-19.099999999999994
3306,3306,156.0,28.567,127.433
3311,3311,258.0,135.0,123.0
3319,3319,0.0,163.0,-163.0
3325,3325,0.0,52.92,-52.92
3331,3331,104.0,135.0,-31.0
3338,3338,94.0,76.65,17.349999999999994
3344,3344,156.0,57.633,98.367
3358,3358,72.0,0.0,72.0
3359,3359,124.0,0.0,124.0
3361,3361,540.0,229.0,311.0
3392,3392,273.0,135.0,138.0
3423,3423,271.0,135.0,136.0
3453,3453,0.0,40.0,-40.0
3463,3463,276.0,135.0,141.0
3494,3494,0.0,40.0,-40.0
3496,3496,275.0,135.0,140.0
3511,3511,0.0,40.0,-40.0
3532,3532,259.0,133.515,125.485
3550,3550,120.0,40.0,80.0
3568,3568,0.0,40.0,-40.0
3569,3569,261.0,124.515,136.485
3573,3573,261.0,106.515,154.485
3590,3590,0.0,40.0,-40.0
3609,3609,244.0,120.515,123.485
3627,3627,0.0,40.0,-40.0
3645,3645,116.0,0.0,116.0
3650,3650,245.0,135.0,110.0
3659,3659,0.0,40.0,-40.0
3689,3689,156.0,0.0,156.0
3703,3703,267.0,135.0,132.0
3714,3714,156.0,0.0,156.0
3720,3720,275.0,135.0,140.0
3743,3743,100.0,84.1156,15.8844
3754,3754,170.0,92.82,77.18
3766,3766,155.0,45.715,109.285
3772,3772,156.0,37.726,118.274
3775,3775,272.0,135.0,137.0
3809,3809,169.0,92.82,76.18
3812,3812,102.0,10.0,92.0
3814,3814,275.0,135.0,140.0
3817,3817,173.0,92.82,80.18
3831,3831,156.0,37.726,118.274
3849,3849,276.0,135.0,141.0
3858,3858,156.0,37.726,118.274
3864,3864,170.0,92.82,77.18
3871,3871,276.0,135.0,141.0
3878,3878,69.0,66.602,2.397999999999996
3894,3894,274.0,135.0,139.0
3901,3901,108.0,99.602,8.397999999999996
3908,3908,171.0,92.82,78.18
3912,3912,156.0,37.726,118.274
3916,3916,103.0,0.0,103.0
3922,3922,99.0,0.0,99.0
3923,3923,179.0,99.602,79.398
3929,3929,156.0,38.487,117.513
3941,3941,275.0,135.0,140.0
3959,3959,155.0,0.0,155.0
3962,3962,275.0,135.0,140.0
3965,3965,156.0,38.487,117.513
3977,3977,182.0,99.602,82.398
3995,3995,274.0,135.0,139.0
4003,4003,104.0,10.0,94.0
4007,4007,156.0,38.487,117.513
4012,4012,180.0,0.0,180.0
4015,4015,0.0,75.0,-75.0
4025,4025,274.0,135.0,139.0
4029,4029,0.0,150.0,-150.0
4045,4045,104.0,10.0,94.0
4047,4047,156.0,38.487,117.513
4048,4048,200.0,0.0,200.0
4053,4053,171.0,92.82,78.18
4073,4073,274.0,135.0,139.0
4074,4074,160.0,0.0,160.0
4075,4075,0.0,163.0,-163.0
4082,4082,104.0,10.0,94.0
4110,4110,272.0,135.0,137.0
4121,4121,0.0,163.0,-163.0
4122,4122,160.0,0.0,160.0
4132,4132,272.0,135.0,137.0
4133,4133,0.0,163.0,-163.0
4156,4156,160.0,0.0,160.0
4169,4169,273.0,135.0,138.0
4171,4171,156.0,38.487,117.513
4176,4176,0.0,163.0,-163.0
4180,4180,160.0,0.0,160.0
4204,4204,0.0,163.0,-163.0
4221,4221,273.0,135.0,138.0
4224,4224,120.0,0.0,120.0
4231,4231,167.0,92.82,74.18
4232,4232,156.0,38.487,117.513
4238,4238,156.0,38.487,117.513
4253,4253,80.0,0.0,80.0
4254,4254,0.0,163.0,-163.0
4267,4267,271.0,135.0,136.0
4268,4268,172.0,92.82,79.18
4276,4276,156.0,38.487,117.513
4278,4278,0.0,163.0,-163.0
4286,4286,90.0,0.0,90.0
4292,4292,174.0,92.82,81.18
4301,4301,272.0,135.0,137.0
4319,4319,178.0,70.487,107.513
4321,4321,0.0,163.0,-163.0
4324,4324,174.0,92.82,81.18
4333,4333,274.0,135.0,139.0
4336,4336,100.0,0.0,100.0
4338,4338,156.0,38.487,117.513
4350,4350,0.0,163.0,-163.0
4351,4351,125.0,0.0,125.0
4359,4359,174.0,92.82,81.18
4370,4370,272.0,135.0,137.0
4375,4375,269.0,135.0,134.0
4376,4376,172.0,92.82,79.18
4378,4378,0.0,56.733,-56.733
4382,4382,84.0,0.0,84.0
4388,4388,120.0,0.0,120.0
4393,4393,156.0,38.487,117.513
4394,4394,0.0,163.0,-163.0
4425,4425,161.0,92.82,68.18
4427,4427,269.0,135.0,134.0
4431,4431,80.0,0.0,80.0
4441,4441,0.0,163.0,-163.0
4447,4447,180.0,70.487,109.513
4454,4454,0.0,163.0,-163.0
4466,4466,80.0,0.0,80.0
4469,4469,269.0,135.0,134.0
4474,4474,156.0,38.487,117.513
4477,4477,163.0,92.82,70.18
4491,4491,273.0,135.0,138.0
4514,4514,0.0,163.0,-163.0
4521,4521,0.0,163.0,-163.0
4525,4525,80.0,0.0,80.0
4530,4530,273.0,135.0,138.0
4569,4569,156.0,38.487,117.513
4579,4579,272.0,135.0,137.0
4583,4583,0.0,163.0,-163.0
4589,4589,0.0,163.0,-163.0
4614,4614,274.0,135.0,139.0
4616,4616,41.0,54.0,-13.0
4623,4623,0.0,163.0,-163.0
4627,4627,273.0,135.0,138.0
4637,4637,42.0,54.0,-12.0
4646,4646,124.0,0.0,124.0
4652,4652,142.0,0.0,142.0
4656,4656,162.0,43.0,119.0
4661,4661,268.0,109.11,158.89
4666,4666,200.0,99.602,100.398
4668,4668,0.0,163.0,-163.0
4675,4675,275.0,135.0,140.0
4707,4707,0.0,163.0,-163.0
4719,4719,0.0,50.666,-50.666
4730,4730,275.0,135.0,140.0
4734,4734,0.0,163.0,-163.0
4739,4739,280.0,109.11,170.89
4756,4756,118.0,99.999,18.001000000000005
4762,4762,275.0,135.0,140.0
4763,4763,118.0,99.999,18.001000000000005
4785,4785,0.0,163.0,-163.0
4786,4786,300.0,109.11,190.89
4790,4790,206.0,99.602,106.398
4796,4796,84.0,99.999,-15.998999999999995
4799,4799,274.0,109.11,164.89
4802,4802,183.0,92.82,90.18
4809,4809,162.0,0.0,162.0
4821,4821,275.0,135.0,140.0
4827,4827,0.0,163.0,-163.0
4830,4830,162.0,0.0,162.0
4835,4835,156.0,54.631,101.369
4840,4840,0.0,163.0,-163.0
4852,4852,274.0,135.0,139.0
4858,4858,182.0,92.82,89.18
4861,4861,147.0,109.11,37.89
4870,4870,0.0,163.0,-163.0
4872,4872,40.0,109.11,-69.11
4874,4874,184.0,92.82,91.18
4887,4887,156.0,33.935,122.065
4892,4892,275.0,135.0,140.0
4903,4903,156.0,28.567,127.433
4906,4906,275.0,135.0,140.0
4918,4918,0.0,43.394,-43.394
4930,4930,87.0,92.82,-5.819999999999993
4931,4931,0.0,163.0,-163.0
4938,4938,68.0,92.82,-24.819999999999997
4941,4941,156.0,60.817,95.183
4948,4948,276.0,135.0,141.0
4954,4954,0.0,83.844,-83.844
4981,4981,156.0,31.032,124.968
4983,4983,258.0,135.0,123.0
4994,4994,0.0,92.82,-92.82
4995,4995,89.0,0.0,89.0
4998,4998,0.0,83.844,-83.844
5016,5016,0.0,43.394,-43.394
5030,5030,124.0,0.0,124.0
5032,5032,156.0,31.032,124.968
5037,5037,104.0,135.0,-31.0
5041,5041,103.0,0.0,103.0
5056,5056,83.0,0.0,83.0
5072,5072,42.0,78.479,-36.479
5081,5081,84.0,0.0,84.0
5094,5094,80.0,0.0,80.0
5102,5102,43.0,62.683,-19.683
5116,5116,100.0,0.0,100.0
5144,5144,47.0,62.683,-15.683
5159,5159,95.0,0.0,95.0
5162,5162,82.0,60.472,21.528
5187,5187,82.0,0.0,82.0
5198,5198,51.0,60.472,-9.472
5222,5222,0.0,37.18,-37.18
5229,5229,93.0,0.0,93.0
5267,5267,38.0,60.472,-22.472
5281,5281,10.0,70.0,-60.0
5286,5286,39.0,60.472,-21.472
5299,5299,20.0,85.0,-65.0
5300,5300,85.0,33.0,52.0
5303,5303,98.0,0.0,98.0
5317,5317,0.0,37.18,-37.18
5333,5333,126.0,0.0,126.0
5349,5349,20.0,103.245,-83.245
5358,5358,0.0,135.0,-135.0
5367,5367,199.0,0.0,199.0
5395,5395,170.0,41.46,128.54
5398,5398,179.0,60.472,118.528
5408,5408,211.0,0.0,211.0
5411,5411,0.0,135.0,-135.0
5427,5427,0.0,135.0,-135.0
5429,5429,150.0,0.0,150.0
5430,5430,123.0,8.3756,114.6244
5441,5441,60.0,100.0,-40.0
5444,5444,0.0,43.669,-43.669
5453,5453,171.0,61.27,109.73
5457,5457,212.0,60.472,151.528
5463,5463,122.0,11.736,110.264
5464,5464,207.0,60.472,146.528
5466,5466,58.0,100.0,-42.0
5487,5487,0.0,73.114,-73.114
5490,5490,138.0,0.0,138.0
5492,5492,0.0,135.0,-135.0
5494,5494,170.0,84.26,85.74
5517,5517,39.0,100.0,-61.0
5520,5520,20.0,135.0,-115.0
5527,5527,109.0,10.716,98.284
5538,5538,48.0,135.0,-87.0
5543,5543,67.0,75.0,-8.0
5553,5553,20.0,86.12,-66.12
5558,5558,109.0,0.0,109.0
5559,5559,149.0,9.1018,139.8982
5560,5560,170.0,56.3715,113.6285
5566,5566,159.0,60.472,98.528
5577,5577,82.0,135.0,-53.0
5580,5580,133.0,9.1018,123.8982
5593,5593,171.0,56.3715,114.6285
5594,5594,0.0,46.936,-46.936
5596,5596,96.0,150.0,-54.0
5602,5602,167.0,135.0,32.0
5613,5613,185.0,163.0,22.0
5622,5622,96.0,0.0,96.0
5625,5625,195.0,60.472,134.528
5626,5626,54.0,64.143,-10.143
5629,5629,169.0,73.4915,95.5085
5638,5638,255.0,135.0,120.0
5641,5641,280.0,163.0,117.0
5649,5649,189.0,60.472,128.528
5667,5667,54.0,64.143,-10.143
5671,5671,156.0,88.53999999999999,67.46000000000001
5674,5674,182.0,60.472,121.528
5676,5676,311.0,163.0,148.0
5697,5697,273.0,135.0,138.0
5721,5721,168.0,92.82,75.18
5723,5723,312.0,163.0,149.0
5729,5729,171.0,60.472,110.528
5738,5738,270.0,135.0,135.0
5744,5744,313.0,163.0,150.0
5760,5760,100.0,0.0,100.0
5768,5768,269.0,135.0,134.0
5778,5778,120.0,0.0,120.0
5791,5791,271.0,135.0,136.0
5793,5793,312.0,163.0,149.0
5798,5798,168.0,92.82,75.18
5812,5812,312.0,163.0,149.0
5815,5815,120.0,0.0,120.0
5828,5828,272.0,135.0,137.0
5832,5832,166.0,92.82,73.18
5847,5847,312.0,163.0,149.0
5869,5869,272.0,135.0,137.0
5876,5876,120.0,0.0,120.0
5888,5888,0.0,65.586,-65.586
5892,5892,313.0,163.0,150.0
5903,5903,272.0,135.0,137.0
5910,5910,120.0,0.0,120.0
5918,5918,314.0,163.0,151.0
5923,5923,99.0,0.0,99.0
5939,5939,272.0,135.0,137.0
5946,5946,0.0,64.136,-64.136
5981,5981,275.0,135.0,140.0
5982,5982,315.0,163.0,152.0
5994,5994,313.0,163.0,150.0
6008,6008,274.0,135.0,139.0
6017,6017,0.0,60.636,-60.636
6038,6038,313.0,163.0,150.0
6053,6053,271.0,135.0,136.0
6055,6055,315.0,163.0,152.0
6061,6061,150.0,43.394,106.606
6069,6069,270.0,135.0,135.0
6108,6108,168.0,85.6783,82.3217
6119,6119,270.0,135.0,135.0
6121,6121,314.0,163.0,151.0
6127,6127,167.0,92.82,74.18
6128,6128,274.0,135.0,139.0
6156,6156,164.0,60.472,103.528
6157,6157,313.0,163.0,150.0
6173,6173,274.0,135.0,139.0
6175,6175,316.0,163.0,153.0
6183,6183,119.0,0.0,119.0
6215,6215,275.0,135.0,140.0
6229,6229,99.0,0.0,99.0
6230,6230,278.0,135.0,143.0
6248,6248,168.0,71.1756,96.8244
6258,6258,319.0,163.0,156.0
6265,6265,0.0,55.736,-55.736
6266,6266,324.0,163.0,161.0
6291,6291,178.0,71.42,106.58
6292,6292,278.0,135.0,143.0
6305,6305,321.0,163.0,158.0
6315,6315,120.0,0.0,120.0
6318,6318,279.0,135.0,144.0
6319,6319,70.0,100.0,-30.0
6321,6321,106.0,0.0,106.0
6331,6331,0.0,61.186,-61.186
6340,6340,280.0,135.0,145.0
6348,6348,320.0,163.0,157.0
6368,6368,99.0,0.0,99.0
6371,6371,320.0,163.0,157.0
6386,6386,92.0,0.0,92.0
6402,6402,279.0,135.0,144.0
6409,6409,0.0,35.864,-35.864
6413,6413,122.0,100.0,22.0
6421,6421,320.0,163.0,157.0
6428,6428,279.0,135.0,144.0
6443,6443,279.0,135.0,144.0
6467,6467,120.0,100.0,20.0
6473,6473,320.0,163.0,157.0
6476,6476,279.0,135.0,144.0
6484,6484,0.0,43.394,-43.394
6486,6486,320.0,163.0,157.0
6498,6498,0.0,65.736,-65.736
6504,6504,118.0,100.0,18.0
6522,6522,78.0,100.0,-22.0
6524,6524,323.0,163.0,160.0
6532,6532,152.0,43.196,108.804
6535,6535,277.0,135.0,142.0
6544,6544,184.0,60.4239,123.5761
6551,6551,275.0,0.0,275.0
6552,6552,0.0,43.394,-43.394
6553,6553,182.0,91.8699,90.1301
6556,6556,0.0,53.386,-53.386
6566,6566,275.0,135.0,140.0
6570,6570,69.0,100.0,-31.0
6588,6588,225.0,0.0,225.0
6589,6589,183.0,75.0232,107.9768
6595,6595,274.0,135.0,139.0
6603,6603,0.0,100.0,-100.0
6623,6623,0.0,63.6,-63.6
6628,6628,83.0,0.0,83.0
6635,6635,279.0,135.0,144.0
6641,6641,184.0,50.2933,133.7067
6648,6648,0.0,40.086,-40.086
6650,6650,280.0,135.0,145.0
6667,6667,184.0,50.2933,133.7067
6688,6688,505.0,270.0,235.0
6691,6691,151.0,17.16,133.84
6698,6698,280.0,135.0,145.0
6745,6745,280.0,135.0,145.0
6746,6746,43.0,60.472,-17.472
6751,6751,44.0,70.776,-26.776
6752,6752,488.0,270.0,218.0
6760,6760,40.0,60.472,-20.472
6766,6766,280.0,135.0,145.0
6770,6770,505.0,270.0,235.0
6782,6782,82.0,0.0,82.0
6818,6818,280.0,135.0,145.0
6824,6824,73.0,0.0,73.0
6828,6828,279.0,135.0,144.0
6838,6838,39.0,60.472,-21.472
6839,6839,68.0,0.0,68.0
6868,6868,280.0,135.0,145.0
6897,6897,37.0,60.472,-23.472
6904,6904,35.0,60.472,-25.472
6911,6911,65.0,0.0,65.0
6921,6921,280.0,135.0,145.0
6931,6931,126.0,63.0,63.0
6964,6964,36.0,60.472,-24.472
6969,6969,280.0,135.0,145.0
6970,6970,72.0,0.0,72.0
6990,6990,70.0,0.0,70.0
6994,6994,280.0,127.0,153.0
7028,7028,117.0,0.0,117.0
7032,7032,278.0,127.0,151.0
7046,7046,278.0,135.0,143.0
7072,7072,133.0,37.18,95.82
7086,7086,116.0,0.0,116.0
7108,7108,274.0,135.0,139.0
7113,7113,183.0,92.82,90.18
7125,7125,79.0,93.632,-14.632000000000003
7127,7127,273.0,135.0,138.0
